decil_probabilidad;marca_bueno_evidente;clientes;respuesta;tasa_buenos;distribucion;lift;saldo_total;sum_pagos_3m_total;sum_pagos_1m_total;sum_pagos_2m_total; sum_pagos_3m_acum ; sum_pagos_1m_acum ; sum_pagos_2m_acum ;tasa_recu_3m_acum;tasa_recu_1m_acum;tasa_recu_2m_acum;buenos_acumulados;psi;ks;roc;fecha;segmento
3;1;178;123;0,691011236;0,001214826;15,47440613;4910512732;194543043;63427860;124559013;5124440376;1520938898;3341262692;0,006028329;0,001789214;0,003930621;0,818890417;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
4;0;14477;345;0,023830904;0,098803601;0,533665838;2,01471E+11;1085753654;450837843;761081859; 6.210.194.030 ; 1.971.776.741 ; 4.102.344.551 ;0,00590586;0,001875149;0,003901307;0,800091701;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
4;1;177;119;0,672316384;0,001208001;15,05575631;4724028084;220674194;74827328;159513008;6430868224;2046604069;4261857559;0,006088368;0,001937604;0,004034876;0,747363595;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
5;0;14476;420;0,02901354;0,098796776;0,64972503;1,97482E+11;1263898603;485742932;864953706; 7.694.766.827 ; 2.532.347.001 ; 5.126.811.265 ;0,006137468;0,00201984;0,004089226;0,729176219;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
5;1;181;134;0,740331492;0,001235301;16,57887684;3896145668;219114711;60250797;115270847;7913881538;2592597798;5242082112;0,006292682;0,002061491;0,004168214;0,664985481;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
6;0;14443;451;0,0312262;0,098571555;0,699275017;2,05016E+11;1475130896;465083449;1064892855; 9.389.012.434 ; 3.057.681.247 ; 6.306.974.967 ;0,006419185;0,00209051;0,004312023;0,644505578;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
6;1;206;150;0,72815534;0,001405923;16,30620585;4967075596;252604026;96529478;161360986;9641616460;3154210725;6468335953;0,006569578;0,002149207;0,004407377;0,575576952;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
7;0;14443;578;0,040019387;0,098571555;0,896188381;2,17959E+11;2061399142;673650593;1358622864; 11.703.015.602 ; 3.827.861.318 ; 7.826.958.817 ;0,006943043;0,002270954;0,004643496;0,552651689;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
7;1;213;163;0,765258216;0,001453697;17,13708231;4339798416;240564028;93782724;171977638;11943579630;3921644042;7998936455;0,007067566;0,002320617;0,004733339;0,464313006;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
8;0;14307;730;0,051023974;0,097643373;1,142623534;2,61503E+11;2437327016;789881628;1634884635; 14.380.906.646 ; 4.711.525.670 ; 9.633.821.090 ;0,007369467;0,002414412;0,004936832;0,439400886;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
8;1;346;268;0,774566474;0,002361404;17,3455301;6890583509;372922198;127209411;240577794;14753828844;4838735081;9874398884;0,007533967;0,002470875;0,005042311;0,32783127;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
9;0;14107;1440;0,102076983;0,0962784;2,285897263;3,9624E+11;5973173865;2242820482;4205952467; 20.727.002.709 ; 7.081.555.563 ; 14.080.351.351 ;0,008802963;0,003007607;0,005980064;0,286871466;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
9;1;548;437;0,797445255;0,003740027;17,85787424;11797343643;870179508;322381248;556659935;21597182217;7403936811;14637011286;0,009126807;0,003128848;0,006185491;0,066788935;4,234139099;0,264410512;0,682543648;202503;3_Medio_p1
0;0;3734;336;0,089983931;0,088014143;0,317416504;11326910784;332116977;106653284;223324861; 332.116.977 ; 106.653.284 ; 223.324.861 ;0,029321055;0,00941592;0,019716308;1;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
0;1;535;440;0,822429907;0,012610489;2,901104913;1304307186;216522196;83610419;167238094;548639173;190263703;390562955;0,043435176;0,015062974;0,030920451;0,972062859;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
1;0;3592;451;0,125556793;0,08466706;0,442899055;8270200173;390730743;156409327;285244973; 939.369.916 ; 346.673.030 ; 675.807.928 ;0,044942879;0,016586101;0,032333114;0,935478507;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
1;1;654;577;0,882262997;0,015415439;3,112164933;1355904661;287061435;103887204;199792437;1226431351;450560234;875600365;0,055102375;0,020243236;0,039339878;0,897979546;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
2;0;3802;402;0,105733824;0,089616971;0,372973933;7007938531;306611172;111164502;209001175; 1.533.042.523 ; 561.724.736 ; 1.084.601.540 ;0,052384378;0,01919425;0,037061058;0,850004157;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
2;1;466;410;0,879828326;0,01098409;3,103576681;979485367;209678764;83216184;156192664;1742721287;644940920;1240794204;0,057620628;0,021324064;0,041025115;0,816579363;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
3;0;3740;436;0,11657754;0,088155569;0,411224922;6968357976;338365907;126469081;245980485; 2.081.087.194 ; 771.410.001 ; 1.486.774.689 ;0,055923504;0,020729525;0,039952987;0,782489399;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
3;1;531;468;0,881355932;0,012516205;3,10896528;1190028480;242959543;95712536;178820959;2324046737;867122537;1665595648;0,060517113;0,022579474;0,043371348;0,746237632;1,608604071;0,19284246;0,625305297;202503;2_Alto_p2
